Timestamp,Class,Confidence,BBox
2025-12-09 18:12:16.995187,wheel_handle_valve,0.54,"[183.43740844726562, 287.97296142578125, 344.2308349609375, 492.410888671875]"
2025-12-09 18:13:10.283262,wheel_handle_valve,0.41,"[439.702880859375, 295.9501953125, 583.1005859375, 522.8931274414062]"
2025-12-09 18:13:12.241481,wheel_handle_valve,0.40,"[435.83935546875, 301.7288513183594, 568.6378173828125, 511.2088317871094]"
2025-12-09 18:13:13.206232,wheel_handle_valve,0.42,"[452.2001037597656, 306.412841796875, 590.82080078125, 512.2437744140625]"
2025-12-09 18:13:15.133580,wheel_handle_valve,0.35,"[437.043212890625, 298.922119140625, 567.9619750976562, 517.5650634765625]"
2025-12-09 18:13:15.616498,wheel_handle_valve,0.54,"[428.28448486328125, 305.13739013671875, 583.9365234375, 518.0906982421875]"
2025-12-09 18:13:18.503256,wheel_handle_valve,0.33,"[440.3706970214844, 292.81427001953125, 575.0928955078125, 518.2418212890625]"
2025-12-09 18:13:18.985932,wheel_handle_valve,0.67,"[440.45355224609375, 299.9938049316406, 585.5885620117188, 517.91748046875]"
2025-12-09 18:13:24.811395,wheel_handle_valve,0.40,"[439.63787841796875, 270.2865295410156, 582.7623901367188, 518.5989990234375]"
2025-12-09 18:14:30.430446,lever_handle_valve,0.26,"[215.60122680664062, 231.792236328125, 527.6639404296875, 656.0762329101562]"
2025-12-09 18:14:35.997655,lever_handle_valve,0.26,"[186.0165557861328, 234.2904815673828, 427.0450134277344, 656.544677734375]"
2025-12-09 18:14:37.433171,wheel_handle_valve,0.25,"[617.4794311523438, 563.7108764648438, 1270.961669921875, 714.0775146484375]"
2025-12-09 18:14:41.345057,wheel_handle_valve,0.26,"[657.8034057617188, 556.1312255859375, 1261.315673828125, 713.5568237304688]"
2025-12-09 18:14:41.851148,wheel_handle_valve,0.29,"[657.8887329101562, 555.3138427734375, 1265.2579345703125, 714.5100708007812]"
2025-12-09 18:15:45.306182,lever_handle_valve,0.30,"[232.0093536376953, 200.9636688232422, 454.38006591796875, 651.0914306640625]"
2025-12-09 18:15:47.717794,lever_handle_valve,0.33,"[398.08074951171875, 115.7291488647461, 892.076171875, 614.18115234375]"
2025-12-09 18:15:52.055204,wheel_handle_valve,0.33,"[228.5165557861328, 442.41827392578125, 367.89129638671875, 593.1104736328125]"
2025-12-09 18:15:57.050175,lever_handle_valve,0.38,"[569.6314697265625, 143.88339233398438, 1278.2247314453125, 717.7611083984375]"
2025-12-09 18:15:57.535921,lever_handle_valve,0.32,"[592.0349731445312, 152.99740600585938, 1277.193115234375, 718.2893676757812]"
2025-12-09 18:15:58.023128,lever_handle_valve,0.31,"[51.50993728637695, 360.7414855957031, 353.42926025390625, 617.9730224609375]"
2025-12-09 18:15:58.503908,lever_handle_valve,0.46,"[246.7822265625, 160.35104370117188, 588.0235595703125, 541.9908447265625]"
2025-12-09 18:16:03.336143,lever_handle_valve,0.43,"[758.0740356445312, 198.8184051513672, 1277.3670654296875, 694.5118408203125]"
2025-12-09 18:16:13.617544,wheel_handle_valve,0.29,"[0.07181396335363388, 429.76519775390625, 169.9849395751953, 717.163818359375]"
2025-12-09 18:16:55.415266,wheel_handle_valve,0.68,"[0.7825866937637329, 523.3731689453125, 254.452880859375, 715.2354125976562]"
2025-12-09 18:16:55.899666,wheel_handle_valve,0.44,"[0.847564697265625, 518.4113159179688, 255.465087890625, 714.6775512695312]"
2025-12-09 18:16:58.823376,lever_handle_valve,0.35,"[542.5178833007812, 356.407958984375, 647.489501953125, 656.5890502929688]"
2025-12-09 18:17:01.715904,wheel_handle_valve,0.25,"[943.4827270507812, 320.49853515625, 1247.214599609375, 601.0028076171875]"
2025-12-09 18:17:22.245872,lever_handle_valve,0.63,"[589.2446899414062, 338.49127197265625, 1072.364013671875, 552.9949951171875]"
2025-12-09 18:18:26.981895,wheel_handle_valve,0.53,"[231.58706665039062, 150.77783203125, 575.296142578125, 552.072265625]"
2025-12-09 18:18:26.981895,wheel_handle_valve,0.32,"[229.94384765625, 144.8625946044922, 574.345947265625, 561.6312255859375]"
2025-12-09 18:18:27.947939,wheel_handle_valve,0.26,"[219.41738891601562, 144.8802490234375, 580.16650390625, 529.6627197265625]"
2025-12-09 18:18:28.432759,wheel_handle_valve,0.42,"[207.2592010498047, 143.278564453125, 563.7100830078125, 588.3135375976562]"
2025-12-09 18:18:28.911025,wheel_handle_valve,0.28,"[242.8289337158203, 263.82342529296875, 518.4009399414062, 573.6553955078125]"
2025-12-09 18:18:29.389777,wheel_handle_valve,0.43,"[235.19595336914062, 143.37997436523438, 555.3367309570312, 583.1773681640625]"
2025-12-09 18:18:30.837859,wheel_handle_valve,0.29,"[236.064697265625, 159.658935546875, 574.60400390625, 590.1407470703125]"
2025-12-09 18:18:32.766462,wheel_handle_valve,0.26,"[218.14169311523438, 151.14633178710938, 569.6181640625, 576.3077392578125]"
2025-12-09 18:18:34.731257,wheel_handle_valve,0.41,"[222.8759307861328, 155.1245880126953, 568.0484619140625, 557.7727661132812]"
2025-12-09 18:18:35.691310,wheel_handle_valve,0.37,"[215.74539184570312, 160.16368103027344, 558.7965087890625, 571.0462036132812]"
2025-12-09 18:18:37.622181,wheel_handle_valve,0.36,"[220.97402954101562, 159.84303283691406, 561.7404174804688, 579.5272216796875]"
2025-12-09 18:18:38.592602,wheel_handle_valve,0.26,"[216.2268524169922, 160.98696899414062, 560.87744140625, 561.877197265625]"
2025-12-09 18:18:39.552760,wheel_handle_valve,0.30,"[217.1821746826172, 162.06130981445312, 553.2242431640625, 539.8411865234375]"
2025-12-09 18:18:52.601683,wheel_handle_valve,0.36,"[202.6168212890625, 127.14265441894531, 549.2699584960938, 570.3056640625]"
2025-12-09 18:19:15.882084,wheel_handle_valve,0.44,"[207.74282836914062, 271.2011413574219, 542.8235473632812, 578.6446533203125]"
2025-12-09 18:19:16.363589,wheel_handle_valve,0.44,"[209.0342254638672, 273.3065185546875, 544.9942626953125, 569.5880126953125]"
2025-12-09 18:19:16.847215,wheel_handle_valve,0.56,"[212.47567749023438, 274.8329162597656, 541.2403564453125, 575.7137451171875]"
